Donavon Frankenreiter	Stay Young	Gallagher and Lyle cover
Death Cab for Cutie	You Woke up My Neighbourhood	Billy Bragg cover
Gomez	Breakfast In America	Supertramp cover
Françoiz Breut	Plain Gold Ring	Nina Simone cover
Muph & Plutonic	Once in a Lifetime	Talking Heads cover
Okkervil River	Ex-Girl Collection	The Wrens cover
Mick Hart	The Wind Cries Mary	Jimi Hendrix Experience cover
Macromantics	Jump	Kris Kross cover
The BellRays	Highway To Hell	AC/DC cover
The Audreys	That Aint Bad	RatCat cover
The Resurrectors	Last Nite	The Strokes cover
The Kill Devil Hills	Look at Miss Ohio	Gillian Welch cover
Koolism	Sign O the Times	Prince cover
Pony Up!	An Honest Mistake	The Bravery cover
Hard-Fi	Bankrobber	The Clash cover
Gossip	Fancy	Reba McEntire cover
Kelley Stoltz	Dolphins	Fred Neil cover
Behind Crimson Eyes	I Touch Myself	Divinyls cover
Bit By Bats	Orinoco Flow	Enya cover
Broken Social Scene	Kennel District	Pavement cover
Kasabian	Somebody to Love	Jefferson Airplane cover
David McCormack & The Polaroids	Spring Rain	The Go-Betweens cover
Expatriate	MLK	U2 cover
Émilie Simon	I Wanna Be Your Dog	The Stooges cover
Mattafix	Boulevard Of Broken Dreams	Green Day cover
Old Man River	Marilyn	Dan Bern cover
Rise Against	Mother	Danzig cover
Shout Out Louds	Streams of Whiskey	The Pogues cover
Paul Kelly	Rehab	Amy Winehouse cover
The Mess Hall	Speed of the Sound of Loneliness	John Prine cover
The Bamboos	Everybody Here Wants You	Jeff Buckley cover
Ben Kweller	God Only Knows	The Beach Boys cover
British India	Boy From School	Hot Chip cover
Ben Lee	Thrash Unreal	Against Me! cover
Beasts Of Bourbon	Sorrow	David Bowie cover
After The Fall	Only the Good Die Young	Billy Joel cover
Clare Bowditch, Tim Rogers & Gotye	No Mans Land	Eric Bogle cover
Crowded House	Everybodys Talkin	Fred Neil cover
Dinosaur Jr.	Change of Heart	Tom Petty and the Heartbreakers cover
C.W. Stoneking	Seven Nation Army	The White Stripes cover
Tilly And The Wall	Kiss Off	Violent Femmes cover
Something For Kate	Rock the Casbah	The Clash cover
The Veils	State Trooper	Bruce Springsteen cover
The Cops	A Horse With No Name	America cover
The Panics	Wide Open Road	The Triffids cover
Sparta	Precious	Depeche Mode cover
Plan B	Stop Me If You Think Youve Heard This One Before	The Smiths cover
Saosin	Time After Time	Cyndi Lauper cover
Little Barrie	White Light/White Heat	The Velvet Underground cover
Lou Rhodes	Satellite	Elliott Smith cover
Nouvelle Vague	Human Fly	The Cramps cover
Katalyst	Hang Me Up to Dry	Cold War Kids cover
Jamie T	Hoover Street	Rancid cover
Fionn Regan	Getting Better	The Beatles cover
Dappled Cities	More Than A Woman	Bee Gees cover
Hot Chip	Graceland	Paul Simon cover
Regina Spektor	Real Love	John Lennon cover
Cut Off Your Hands	Is By Bus	Gaslight Radio cover
Radical Son	The Dead Heart	Midnight Oil cover
Snowman	Strange Fruit	Billie Holiday cover
Yo La Tengo	Beautiful World	DEVO cover
Foreign Heights	If I Ruled The World (Imagine That)	Nas ft. Lauryn Hill cover
Peter Bjorn and John	Me and Julio Down by the Schoolyard	Paul Simon cover
Silversun Pickups	Shadowplay	Joy Division cover
Nouvelle Vague	Ever Fallen in Love (With Someone You Shouldntve)	Buzzcocks cover
Dallas Crane	Cant Get You Out of My Head	Kylie Minogue cover
Mark Ronson	Beggin	Frankie Valli & The Four Seasons cover
Little Red	Its a Long Way to the Top (If You Wanna Rock N Roll)	AC/DC cover
Muscles	Wrapped Up	Eddy Current Suppression Ring cover
Queens of the Stone Age	White Wedding	Billy Idol cover
Róisín Murphy	Good Life	Inner City cover
Paul Dempsey	If You Want My Love	Cheap Trick cover
The Drones	Suicide Is Painless	Johnny Mandel cover
Sparkadia	This Boys in Love	The Presets cover
The John Steel Singers	Confide in Me	Kylie Minogue cover
Tom Morello	Dirty Deeds Done Dirt Cheap	AC/DC cover
The Wombats	There She Goes	The Las cover
Trial Kennedy	Sunday Bloody Sunday	U2 cover
The Matches	Bodysnatchers	Radiohead cover
True Live	Never Tear Us Apart	INXS cover
The Kooks	Kids	MGMT cover
TZU	Heavy Heart	You Am I cover
Youth Group	Beautiful Waste	The Triffids cover
Whitley	Dancing Queen	ABBA cover
Vampire Weekend	Everywhere	Fleetwood Mac cover
Spoon	Peace Like a River	Paul Simon cover
Supergrass	Next to You	The Police cover
Birds Of Tokyo	I Heard It Through The Grapevine	Marvin Gaye cover
Bluejuice	Every Little Step	Bobby Brown cover
Dawn Landes	Young Folks	Peter Bjorn and John cover
Eddy Current Suppression Ring	Theres A Lot of It Going Round	The Chosen Few cover
Dan Sultan	Pulse	Front End Loader cover
Iron & Wine	Love Is The Foundation	Loretta Lynn cover
Holly Throsby	Berlin Chair	You Am I cover
Josh Pyke	Under The Milky Way	The Church cover
Gyroscope	To Her Door	Paul Kelly cover
Hermitude	Jóga	Björk cover
Kaki King	LoveStoned / I Think She Knows (Interlude)	Justin Timberlake cover
Laura Marling	The Wrote & The Writ	Johnny Flynn & The Sussex Wit cover
Liam Finn & EJ Barnes	Old Man	Neil Young cover
K-OS	Champion	Kanye West cover
Jess Ribeiro	Into My Arms	Nick Cave & The Bad Seeds cover
Bonde do Rolê	Its a Long Way to the Top (If You Wanna Rock N Roll)	AC/DC cover
Faker	Pet Sematary	Ramones cover
Jake Shimabukuro	While My Guitar Gently Weeps	George Harrison cover
Anti-Flag	Beds Are Burning	Midnight Oil cover
Dan Kelly	Head Full Of Steam	The Go-Betweens cover
Phoenix	Playground Love	Air ft. Gordon Tracks cover
Sia	I Go to Sleep	The Pretenders cover
The Cat Empire	Sunny Afternoon	The Kinks cover
The Flaming Lips	Borderline/Cant Get You Out Of My Head	Madonna/Kylie Minogue cover
Tiki Taane	Use Somebody	Kings of Leon cover
The Temper Trap	Dancing In the Dark	Bruce Springsteen cover
Something With Numbers	Sex From the Bong	Kings of Leon/Cypress Hill cover
The Hold Steady	History Lesson (Part II	Minutemen cover
Sparkadia	Summer Rain	Belinda Carlisle cover
Wolfmother	Wuthering Heights	Kate Bush cover
Wolf & Cub	Mambo Sun	T. Rex cover
Regular John	Hybrid Moments	Misfits cover
My Morning Jacket	Sayonara (The Japanese Farewell Song)	Club Nisei Orchestra cover
Oh Mercy	Lovefool	The Cardigans cover
Urthboy	London Calling	The Clash cover
The Kills	Crazy	Patsy Cline cover
Washington	Santeria	Sublime cover
Chuck Ragan & Laura Jane Grace	Greenback Dollar	The Kingston Trio cover
Eagles Of Death Metal	Brown Sugar	The Rolling Stones cover
Ben Harper And Relentless7	Under Pressure	David Bowie and Queen cover
Bertie Blackman	In The Air Tonight	Phil Collins cover
Alkaline Trio	The KKK Took My Baby Away	Ramones cover
Gomez	From St. Kilda To Kings Cross	Paul Kelly cover
Dananananaykroyd	Whip It	DEVO cover
Bon Iver	The Park	Feist cover
Lisa Mitchell	Romeo And Juliet	Dire Straits cover
Jet	Sooner Or Later	N.E.R.D cover
Mat McHugh & The Black Bird	Only You	Yazoo cover
Little Birdy	Do Right Woman, Do Right Man	Aretha Franklin cover
Mélanie Pain	God Save the Queen	Sex Pistols cover
Metronomy	We Are The People	Empire of the Sun cover
Mia Dyson	This Magic Moment	The Drifters cover
Metric	The End Has No End	The Strokes cover
Bob Evans	Not Fair	Lily Allen cover
Grinspoon	When You Were Mine	Prince cover
Dappled Cities	My Girls	Animal Collective cover
Jae Laffer	They Thought I Was Asleep & When I First Met Your Ma	Paul Kelly covers
Mariachi El Bronx	I Would Die 4 U	Prince and the Revolution cover
Illy	Where Is My Mind?	Pixies cover
Ladyhawke	Message to My Girl	Split Enz cover
Josh Earl	Single Ladies (Put a Ring on It)	Beyoncé cover
Kisschasy	Alex Chilton	The Replacements cover
Philadelphia Grand Jury	99 Problems	Jay-Z cover
Angus & Julia Stone	Say It Right	Nelly Furtado cover
John Butler Trio	I Want You Back	The Jackson 5 cover
Children Collide	Reckless (Dont Be So…)	Australian Crawl cover
Chiddy Bang	Young Blood	The Naked And Famous cover
Basement Birds	My People	The Presets cover
Band Of Skulls	Strict Machine	Goldfrapp cover
Grizzly Bear	Boy From School	Hot Chip cover
Ernest Ellis	New York, I Love You but Youre Bringing Me Down	LCD Soundsystem cover
Darren Hanlon	Together in Electric Dreams	Philip Oakey & Giorgio Moroder cover
Dan Sultan	The Plot	White Rabbits cover
First Aid Kit	When I Grow Up	Fever Ray cover
Dirty Projectors	Dark Eyes	Bob Dylan cover
Groove Armada	Enjoy the Silence	Depeche Mode cover
Jonathan Boulet	Colour Television	Eddy Current Suppression Ring cover
Jen Cloher & Jordie Lane	Electric Feel	MGMT cover
Gyroscope	Redemption Song	Bob Marley & The Wailers cover
Little Red	We Are The People	Empire of the Sun cover
Klaxons	Bad Romance	Lady Gaga cover
OK Go	Wave of Mutilation	Pixies cover
Mumford & Sons	Unfinished Business	White Lies cover
Miami Horror	The Logical Song	Supertramp cover
M-Phazes	More Than a Game	Chris Doheny cover
Old Man River	Clap Your Hands	Sia cover
Space Invadas	Sweet Disposition	The Temper Trap cover
Seabellies	Am I Ever Gonna See Your Face Again	The Angels cover
Operator Please	Heart of Glass	Blondie cover
Passion Pit	Said I Loved You…But I Lied	Michael Bolton cover
Taking Back Sunday	Time To Move On	Tom Petty cover
Two Door Cinema Club	Cecilia	Simon & Garfunkel cover
The Last Kinection	Rhythm Is A Dancer	Snap! cover
Yves Klein Blue	Walk On the Wild Side	Lou Reed cover
The Soft Pack	Hang Fire	The Rolling Stones cover
The Boat People	Bulletproof	La Roux cover
Darwin Deez	Scar Tissue	Red Hot Chili Peppers cover
Glenn Richards	Quasimodos Dream	The Reels cover
Sally Seltmann	Youre So Vain	Carly Simon cover
Clare Bowditch	My Happiness	Powderfinger cover
The Beautiful Girls	Hopelessly Devoted To You	Olivia Newton-John cover
Spinnerette	Do You Wanna Dance?	Ramones cover
Silverchair	Yellow Submarine	The Beatles cover
Alexisonfire	(Im) Stranded	The Saints cover
Cloud Control	Pursuit Of Happiness	Kid Cudi ft. MGMT cover
Regina Spektor	No Surprises	Radiohead cover
Adalita	Burning Up	Madonna cover
360	! (The Song Formerly Known As)	Regurgitator cover
Architecture In Helsinki	Break My Stride	Matthew Wilder cover
Art vs Science	Harder, Better, Faster, Stronger	Daft Punk cover
Boy & Bear	Walking On A Dream	Empire of the Sun cover
Ben Folds	Sleazy	Kesha cover
Andy Bull	Everybody Wants To Rule The World	Tears For Fears cover
Dialectrix	Buy Me A Pony	Spiderbait cover
Busby Marou	Girls Just Want to Have Fun	Cyndi Lauper cover
Calling All Cars	Dont Sit Down Cause Ive Moved Your Chair	Arctic Monkeys cover
Cosmo Jarvis	Spinning Around	Kylie Minogue cover
Eagle And The Worm	Tightrope	Janelle Monáe cover
Example	Boulevard of Broken Dreams	Green Day cover
Eskimo Joe	Somebody That I Used to Know	Gotye ft. Kimbra cover
GATC	Flash	Queen cover
Jebediah	Apartment	Custard cover
Hot Hot Heat	Animal	Miike Snow cover
Lykke Li	Unchained Melody	The Righteous Brothers cover
Kate Nash	Lets Hear It for the Boy	Deniece Williams cover
Kasabian	Im So Tired	The Beatles cover
Lotek	Rock It	Little Red cover
Mark Ronson & The Business Intl	Solitude Is Bliss	Tame Impala cover
Leader Cheetah	Losing My Religion	R.E.M. cover
Pigeon John	Last Nite	The Strokes cover
Oh Mercy	Evil Woman	Electric Light Orchestra cover
Phrase	Tighten Up	The Black Keys cover
Paul Dempsey	Daniel	Bat For Lashes cover
The Kills	One Silver Dollar	Marilyn Monroe cover
Stonefield	Magic Carpet Ride	Steppenwolf cover
The Gaslight Anthem	Sitting, Waiting, Wishing	Jack Johnson cover
The Holidays	Wolf Like Me	TV On The Radio cover
The Beards	Sharp Dressed Man	ZZ Top cover
The Grates	Please Leave	Jebediah cover
The Wombats	Price Tag	Jessie J cover
The Mission In Motion	Punching In A Dream	The Naked And Famous cover
Washington	Even When Im Sleeping	Leonardos Bride cover
The Vaccines	Where Is My Mind?	Pixies cover
Yeasayer	Crazy	Seal cover
Owl Eyes	Pumped Up Kicks	Foster The People cover
The Vines	Clint Eastwood	Gorillaz cover
Gossling	Dance the Way I Feel	Ou Est Le Swimming Pool cover
Plan B	Runaway	Kanye West cover
Kimbra	Two Weeks/Head Over Heels	Grizzly Bear & Tears For Fears cover
Kaiser Chiefs	Record Collection	Mark Ronson & The Business Intl. cover
The Living End	Drugs	Ammonia cover
Josh Pyke	Endless Summer	The Jezabels cover
alt-J	Slow Dre	Kylie Minogue/Dr Dre cover
Angus Stone	Hold On	Alabama Shakes cover
Active Child	Sweet Dreams (Are Made of This)	Eurythmics cover
Arctic Monkeys/Alex Turner	Strange	Patsy Cline cover
Ball Park Music	Do You Realize??	The Flaming Lips cover
Band Of Skulls	I Follow Rivers	Lykke Li cover
Austra	None Of Dem	Röyksopp ft. Robyn cover
Big Scary	Hurt Me	The Jezabels cover
Chance Waters	Little Lion Man	Mumford & Sons cover
Bleeding Knees Club	Oblivion	Grimes cover
Citizens!	The Best	Tina Turner cover
Bluejuice	Video Games	Lana Del Rey cover
Chairlift	Party	Beyoncé ft. André 3000 cover
Bon Iver	Coming Down	Anaïs Mitchell cover
Electric Guest	Ritual Union	Little Dragon cover
Deep Sea Arcade	Let Forever Be	The Chemical Brothers cover
Emperors	Shake It Out	Florence + The Machine cover
City and Colour	Settle Down	Kimbra cover
Jinja Safari	Ignition (Remix)	R. Kelly cover
Ladyhawke	White Rabbit	Jefferson Airplane cover
Hilltop Hoods	So WhatCha Want	Beastie Boys cover
Lanie Lane	Gold on the Ceiling	The Black Keys cover
Julia Stone	Feeding Line	Boy & Bear cover
Sticky Fingers	Rhiannon	Fleetwood Mac cover
Last Dinosaurs	Sing It Back	Moloko cover
Metric	Always On My Mind	Willie Nelson cover
Lisa Mitchell	Midnight City	M83 cover
Loon Lake	Angels	The xx cover
The Bamboos	Lost	Frank Ocean cover
Mutemath	Fallin	Alicia Keys cover
The Medics	Blowin in the Wind	Bob Dylan cover
The Maccabees	Girl, Youll Be A Woman Soon	Neil Diamond cover
The Temper Trap	Dont Fight It	The Panics cover
Tim Minchin	Here Comes the Flood	Peter Gabriel cover
The Herd	A Change is Gonna Come	Sam Cooke cover
You Me At Six	Paradise	Coldplay cover
Xavier Rudd	I Need A Dollar	Aloe Blacc cover
Gossip	Whats Love Got to Do with It	Tina Turner cover
Husky	Need You Tonight	INXS cover
Yung Warriors	Black Boy	Coloured Stone cover
Hermitude	Get Free	Major Lazer ft. Amber Coffman cover
Missy Higgins	Hearts A Mess	Gotye cover
Matt Corby	Lonely Boy	The Black Keys cover
Thundamentals	Brother	Matt Corby cover
Illy	Ausmusic Month Medley	Silverchair/Hilltop Hoods/Powderfinger/Paul Kelly/Flume cover
Ash Grunwald	Feel Good Inc.	Gorillaz cover
Asta	Holdin On	Flume cover
Bob Evans	Disparate Youth	Santigold cover
Birds Of Tokyo	Swimming Pools (Drank)	Kendrick Lamar cover
Abbe May	Pony	Ginuwine cover
Emma Louise	Tessellate	alt-J cover
Dirty Projectors	Climax	Usher cover
Divine Fits	Hungry Heart	Bruce Springsteen cover
FIDLAR	Red Right Hand	Nick Cave & The Bad Seeds cover
Elizabeth Rose	The Rhythm Of The Night	Corona cover
Buchanan	Thinkin Bout You	Frank Ocean cover
Diafrix	Retrograde	James Blake cover
Bonjah	Royals	Lorde cover
Courtney Barnett	Black Skinhead	Kanye West cover
British India	Your Woman	White Town cover
Josh Pyke, Kingswood, Gossling & Elana Stone	Good Riddance (Time Of Your Life)	Green Day cover
Franz Ferdinand	Was There Anything I Could Do?	The Go-Betweens cover
Glass Towers	Young And Beautiful	Lana Del Rey cover
Frightened Rabbit	The Only Place	Best Coast cover
Jimblah	Resolution	Matt Corby cover
REMI	Since I Left You	The Avalanches cover
Kingswood	Wolf	First Aid Kit cover
Seth Sentry	Punch In The Face	Frenzal Rhomb cover
Rudimental	Ready or Not	Fugees cover
Robert DeLong	The Mother We Share	CHVRCHES cover
MS MR	Dance Yrself Clean	LCD Soundsystem cover
PVT	Nothing Arrived	Villagers cover
Spit Syndicate	Latch	Disclosure ft. Sam Smith cover
Sharon Van Etten	People Aint No Good	Nick Cave & The Bad Seeds cover
The Trouble With Templeton	The District Sleeps Alone Tonight	The Postal Service cover
The Paper Kites	Help Me Lose My Mind	Disclosure ft. London Grammar cover
The Lumineers	This Must Be the Place (Naive Melody)	Talking Heads cover
The Jungle Giants	Buddy Holly	Weezer cover
Tame Impala	Prototype	Outkast cover
Tuka	Im Into You	Chet Faker cover
Wolf & Cub	I Would Die 4 U	Prince and the Revolution cover
Worlds End Press	Elephant	Tame Impala cover
Vance Joy	Rolling In The Deep	Adele cover
Vydamo	One Way Trigger/I Follow You	The Strokes/Melodys Echo Chamber cover
Horrorshow	Walk On The Wild Side/Can I Kick It?	Lou Reed/A Tribe Called Quest cover
The Rubens	Friday On My Mind	The Easybeats cover
You Am I	Super Rich Kids	Frank Ocean cover
Little Green Cars	To The Last	James Blake cover
Of Monsters and Men	Skeletons	Yeah Yeah Yeahs cover
Hungry Kids of Hungary	Feels Like We Only Go Backwards	Tame Impala cover
San Cisco	Get Lucky	Daft Punk cover
HAIM	Strong Enough	Sheryl Crow cover
Something For Kate	Sweet Nothing	Calvin Harris ft. Florence Welch cover
Bluejuice	End Of The Road	Boyz II Men cover
Ball Park Music	Diane Young	Vampire Weekend cover
Ásgeir	Stolen Dance	Milky Chance cover
Arctic Monkeys	Feels Like We Only Go Backwards	Tame Impala cover
Allday	Never Tear Us Apart	INXS cover
Chet Faker	(Lover) You Dont Treat Me No Good	Sonia Dada cover
CHVRCHES	Do I Wanna Know?	Arctic Monkeys cover
Client Liaison	! (The Song Formerly Known As)	Regurgitator cover
Client Liaison	Party	Christine Anu cover
Dead Letter Circus	Killing In The Name	Rage Against The Machine cover
Daniel Lee Kendall	Rock with You	Michael Jackson cover
Dustin Tebbutt	Young Folks	Peter Bjorn and John cover
First Aid Kit	Love Interruption	Jack White cover
Calling All Cars	Psycho Killer	Talking Heads cover
Cloud Control	Dammit	blink-182 cover
Dan Sultan	Southern Sun	Boy & Bear cover
The Delta Riggs	Gooey	Glass Animals cover
Briggs & Gurrumul	The Children Came Back	Archie Roach cover
Jackie Onassis	Drunk in Love	Beyoncé ft. Jay-Z cover
James Vincent McMorrow	West Coast	Lana Del Rey cover
Holy Holy	Love Will Tear Us Apart	Joy Division cover
John Butler Trio	Happy	Pharrell Williams cover
Grouplove	Spiderhead	Cage The Elephant cover
Highasakite	Heavenly Father	Bon Iver cover
The Kite String Tangle	Clair de Lune	Flight Facilities cover
Glass Animals	Love Lockdown	Kanye West cover
Jagwar Ma	Whyd You Only Call Me When Youre High?	Arctic Monkeys cover
The Jezabels	Dont Stop Believing	Journey cover
The Griswolds	Riptide	Vance Joy cover
Kim Churchill	Just For You	Sticky Fingers cover
Kasabian	Can You Tell Me How to Get to Sesame Street?	Sesame Street
Kasabian	Good Vibrations	Beach Boys cover
L-FRESH The LION	The Fresh Prince of Bel-Air Beware Of The Boys (Mundian To Bach Ke)	DJ Jazzy Jeff & The Fresh Prince cover
L-FRESH The LION	The Fresh Prince of Bel-Air Beware Of The Boys (Mundian To Bach Ke)	Panjabi MC cover
Karnivool	Hey Now	London Grammar cover
Little Dragon	Millionaire	Kelis ft. André 3000 cover
Lisa Mitchell	Zombie	Jamie T cover
Meg Mac	Bridges	BROODS cover
Lurch & Chief	Drop the Game	Flume & Chet Faker cover
Peking Duk	Cant Get You Out Of My Head	Kylie Minogue cover
Northeast Party House	Covered In Chrome	Violent Soho cover
RÜFÜS DU SOL	My Number	Foals
RÜFÜS DU SOL	Charlotte	Booka Shade cover
Saskwatch	Let Her Go	Jagwar Ma cover
Seekae	Picture Me Gone	Ariel Pink cover
Thelma Plum	Gold	Chet Faker cover
Montaigne	Chandelier	Sia cover
Lorde	Retrograde	James Blake cover
SKATERS	Judy Is A Punk	Ramones cover
The Smith Street Band	History Eraser	Courtney Barnett cover
The Holidays	Is This How You Feel?/Sexual Healing	The Preatures/Marvin Gaye cover
Alpine	Cigarettes Will Kill You	Ben Lee cover
Airling	U Got It Bad	Usher cover
Art of Sleeping	Hotline Bling	Drake cover
Catfish and the Bottlemen	Read My Mind	The Killers cover
Boo Seeka	Pilgrim	MØ cover
Ayla	Throw Your Arms Around Me	Hunters & Collectors cover
Carmada	Lean On	Major Lazer ft. MØ & DJ Snake cover
Bad//Dreems	Cant Feel My Face	The Weeknd cover
Art vs Science	Enter Sandman	Metallica cover
Everything Everything	With Every Heartbeat	Robyn cover
DZ Deathrays	Addicted To Bass	Josh Abrahams & Amiel Daemion cover
Foals	Daffodils	Mark Ronson ft. Kevin Parker cover
Claptone	How Deep Is Your Love	The Rapture cover
Clowns	Alone with You	Sunnyboys cover
Harts	Aerial Love	Daniel Johns cover
Hiatus Kaiyote	DARE	Gorillaz cover
In Hearts Wake	Vice Grip	Parkway Drive cover
I Know Leopard	Waterfalls	TLC cover
Grenadiers	Vitriol	Bluejuice cover
Jesse Davidson	Sober	Childish Gambino cover
Jebediah	Go	The Chemical Brothers cover
Kilter	Ice Cream	Muscles cover
Little May	Great Southern Land	Icehouse cover
Jarryd James	Say It Aint So	Weezer cover
One Day	Not Many	Scribe cover
Ngaiire	The Less I Know The Better	Tame Impala cover
Oscar Key Sung	Loud Places	Jamie xx ft. Romy cover
Royal Blood	Hang Me Up to Dry	Cold War Kids cover
Philly	Three Little Birds	Bob Marley & The Wailers cover
Mark Ronson	I Sat by the Ocean	Queens of the Stone Age cover
Milky Chance	Shake It Off	Taylor Swift cover
Tired Lion	Saramona Said/1979	Violent Soho/The Smashing Pumpkins cover
The Bennies	(Hell Never Be An) Ol Man River	TISM cover
The Belligerents	Praise You	Fatboy Slim cover
Tame Impala	Confide in Me	Kylie Minogue cover
Tuka	Big Jet Plane	Angus & Julia Stone cover
Sticky Fingers	Delete	DMAS cover
SAFIA	Left Hand Free	alt-J cover
Vance Joy	Fake Plastic Trees	Radiohead cover
Gang of Youths	All My Friends	LCD Soundsystem cover
Asta	I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston cover
Mansionair	Seasons (Waiting on You)	Future Islands cover
Dorsal Fins	Pash	Kate Ceberano cover
Childish Gambino	So Into You	Tamia cover
Urthboy	Roll Up Your Sleeves	Meg Mac cover
